Term | TF-IDF country | TF-IDF pop | TF-IDF rap | TF-IDFrock
oh	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
she's	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
regret	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
moment	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
didn't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
let	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hoping	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
drops	|	0.249877	|	0.499755	|	0.000000	|	0.124939	|	
together	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
face	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
she'll	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
place	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
took	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
TV	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
toaster	|	0.602060	|	0.000000	|	0.000000	|	0.000000	|	
curtains	|	0.124939	|	0.249877	|	0.249877	|	0.000000	|	
car	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
guess	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
granted	|	0.301030	|	0.903090	|	0.000000	|	0.000000	|	
wouldn't	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
very	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
someone	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
hurry	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
own	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
sweet	|	0.000000	|	0.000000	|	0.000000	|	0.000000	|	
